Data_ID,Non-official languages spoken most often at home,lang_count,ONS_ID
ID959,                Serbian,0,3063
ID960,"                Serbo-Croatian, n.i.e.",0,3063
ID961,              Slovak,0,3063
ID962,              Slovene (Slovenian),0,3063
ID963,              Ukrainian,0,3063
ID966,            Irish,0,3063
ID967,            Scottish Gaelic,0,3063
ID968,            Welsh,0,3063
ID971,            Frisian,0,3063
ID973,              German,0,3063
ID974,              Pennsylvania German,0,3063
ID975,              Swiss German,0,3063
ID976,              Yiddish,0,3063
ID978,              Afrikaans,0,3063
ID979,              Dutch,0,3063
ID980,"              Low German, n.o.s.",0,3063
ID981,              Low Saxon,0,3063
ID982,              Plautdietsch,0,3063
ID983,              Vlaams (Flemish),0,3063
ID985,              Danish,0,3063
ID986,              Icelandic,0,3063
ID987,              Norwegian,0,3063
ID988,              Swedish,0,3063
ID990,          Greek,15,3063
ID993,              Assamese,0,3063
ID994,              Bengali,20,3063
ID995,              Gujarati,15,3063
ID996,              Hindi,0,3063
ID997,              Kacchi,0,3063
ID998,              Kashmiri,0,3063
ID999,              Konkani,0,3063
ID1000,              Marathi,0,3063
ID1001,              Nepali,0,3063
ID1003,                Odia,0,3063
ID1004,"                Oriya, n.o.s.",0,3063
ID1005,              Punjabi (Panjabi),0,3063
ID1006,              Rohingya,0,3063
ID1007,              Sindhi,0,3063
ID1008,              Sinhala (Sinhalese),0,3063
ID1009,              Urdu,0,3063
ID1012,              Baluchi,0,3063
ID1013,              Kurdish,0,3063
ID1014,              Parsi,0,3063
ID1015,              Pashto,0,3063
ID1017,                Dari,0,3063
ID1018,                Iranian Persian,45,3063
ID1019,"                Persian (Farsi), n.o.s.",0,3063
ID1023,            Catalan,0,3063
ID1024,            Italian,40,3063
ID1025,            Portuguese,40,3063
ID1026,            Romanian,0,3063
ID1027,            Spanish,85,3063
ID1030,        Japanese,0,3063
ID1031,        Korean,0,3063
ID1032,        Mongolian,0,3063
ID1034,          Akan (Twi),0,3063
ID1035,          Bamanankan,0,3063
ID1036,          Edo,0,3063
ID1037,          Éwé,0,3063
ID1038,"          Fulah (Pular, Pulaar, Fulfulde)",0,3063
ID1039,          Ga,0,3063
ID1040,          Ganda,0,3063
ID1041,          Gikuyu,0,3063
ID1042,          Igbo,0,3063
ID1043,          Kinyarwanda (Rwanda),0,3063
ID1044,          Lingala,0,3063
ID1045,          Luba-Kasai,0,3063
ID1046,          Mòoré,0,3063
ID1047,          Mwani,0,3063
ID1048,          Ndebele,0,3063
ID1049,          Rundi (Kirundi),0,3063
ID1050,          Shona,0,3063
ID1051,          Soninke,0,3063
ID1053,          Swahili,0,3063
ID1054,          Wojenaka,0,3063
ID1055,          Wolof,0,3063
