name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need,ONS_ID
south_keys_3105,0.05555555555555555,0.1111111111111111,0.17454545454545456,0.16911764705882354,82800,31000,57.4,0.2317596566523605,0.1888412017167382,0.03846153846153846,0.04273504273504273,0.13513513513513514,3105
stittsville_3106,0.03392857142857142,0.022975432211101,0.08585858585858586,0.10755148741418764,130800,55200,66.7,0.11832797427652732,0.1054662379421222,0.01605651894669236,0.01991008349389852,0.03841145833333333,3106
stittsville_east_3107,0.03025477707006369,0.0494061757719715,0.09367493995196156,0.1254071661237785,116800,56800,78.1,0.17963224893917965,0.16548797736916548,0.04084507042253521,0.00704225352112676,0.06312769010043041,3107
stittsville_north_3108,0.03465003465003465,0.04681353265145555,0.0837874659400545,0.12431693989071038,117600,60000,74.9,0.1741511500547645,0.14895947426067907,0.02076502732240437,0.01311475409836065,0.05393258426966292,3108
stonebridge_half_moon_bay_3109,0.03177822853279243,0.05815446707026234,0.09115371678439288,0.12566137566137567,120600,54400,72.6,0.1947250280583614,0.17059483726150393,0.04642058165548098,0.01006711409395973,0.06497987349051179,3109
trend_arlington_3110,0.06458333333333334,0.04083769633507853,0.11293634496919916,0.14675767918088736,113400,51600,61.1,0.14133333333333334,0.128,0.03448275862068965,0.05305039787798409,0.07859078590785908,3110
vanier_north_3111,0.11562998405103668,0.17258142926592124,0.10841283607979184,0.25343811394891946,72100,40800,64.2,0.30327868852459017,0.27049180327868855,0.06255666364460562,0.10335448776065276,0.2165725047080979,3111
vanier_south_3112,0.13523573200992556,0.22002820874471085,0.1581081081081081,0.25573770491803277,58300,29400,57.5,0.3622641509433962,0.32955974842767294,0.08625,0.1,0.28608582574772434,3112
vars_3113,0.08950617283950617,0.04601769911504425,0.04984423676012461,0.10112359550561796,110200,50400,66.5,0.11707317073170732,0.1073170731707317,0.01886792452830188,0.08018867924528301,0.0588235294117647,3113
waterridge_village_3114,0.07241379310344828,0.12573673870333987,0.07037037037037037,0.2366412213740458,92200,51200,64.7,0.21621621621621623,0.20270270270270271,0.06278026905829596,0.06726457399103139,0.1187214611872146,3114
west_centretown_3115,0.10146341463414636,0.22934131736526947,0.12586719524281467,0.17886178861788618,68000,40800,67.2,0.3109691160809372,0.2790202342917998,0.05268703898840885,0.10642781875658588,0.21499448732083792,3115
westboro_3116,0.03804737975592247,0.11368334022323276,0.07850330154071901,0.12844036697247707,104500,64000,65.3,0.2156074014481094,0.1906677393403057,0.04003202562049639,0.0544435548438751,0.1222130470685384,3116
whitehaven_woodpark_glabar_park_3117,0.07495256166982922,0.10411846367422488,0.09905660377358493,0.14516129032258066,91400,45200,55.8,0.23436041083099907,0.21568627450980393,0.03803339517625231,0.08070500927643785,0.15699333967649856,3117
