ONS_name,ONS_ID,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,pop
VAR_ID,VAR200,VAR6,VAR7,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR201
old_ottawa_east_3082,3082,295,0.182662539,1245,2.1,1955,0.496192893,0.502538071,0.093922652,340,2.8,1740,2056,1980,4,17,1360,1436,2.7,0.101654846,215,0.101654846,1.6,154000,182000,94000,general
old_ottawa_south_3083,3083,320,0.162849873,590,2.6,1830,0.724752475,0.273267327,0.054878049,135,1.7,1760,2048,690,10.1,16.2,1550,1704,3,0.133704735,240,0.133704735,1.7,179000,184000,98000,general
orleans_industrial_3084,3084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
orleans_village_chateauneuf_3085,3085,740,0.214804064,660,2.7,3800,0.902612827,0.097387173,0.035971223,150,2.4,1250,1384,410,9.8,15,1520,1440,2.9,0.126961484,445,0.126961484,1.8,122900,136000,96400,general
osgoode_vernon_3086,3086,265,0.15497076,300,2.7,1850,0.898058252,0.101941748,0.075757576,150,4.8,1540,1524,210,14.3,31,1010,1270,2.9,0.101694915,180,0.101694915,1.7,122900,137000,86000,general
overbrook_3087,3087,2610,0.403400309,3305,2.3,3190,0.355629877,0.644370123,0.194046938,1695,7.9,1320,1418,5780,28.1,26,1210,1237,3,0.288557214,1450,0.288557214,2,89300,96000,66800,general
parkwood_hills_3088,3088,585,0.281927711,630,2.7,280,0.125279642,0.876957494,0.321016166,695,23.2,840,1140,1955,8.4,33.4,1430,1454,3.3,0.257692308,335,0.257692308,2.3,71300,73500,61400,general
pineview_3089,3089,700,0.335731415,505,2.7,1530,0.658064516,0.344086022,0.111111111,255,5.6,1440,1418,795,8.8,21.3,1460,1392,3,0.247093023,425,0.247093023,1.9,104300,114000,77600,general
playfair_park_guildwood_estates_3090,3090,405,0.221917808,800,2.4,1830,0.707930368,0.290135397,0.115913556,295,5,1040,1550,755,6,28.6,1400,1400,2.9,0.150289017,260,0.150289017,1.8,137800,168000,97000,general
portobello_south_3091,3091,2335,0.199657973,1650,3,8245,0.826566416,0.172932331,0.060559796,595,4,2000,1950,1725,0,16.1,2000,1952,3.2,0.166866747,1390,0.166866747,2,127500,137000,91200,general
